DESCRIÇÃO,PREÇO,LINK
Playstation Ps5 Slim Standard + Jogos Ratchet Clank And Returnal Branco 1 Tb Branco,195,https://www.mercadolivre.com.br/playstation-ps5-slim-standard--jogos-ratchet-clank-and-returnal-branco-1-tb/up/MLBU1480264798#polycard_client=search-nordic&search_layout=grid&position=50&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB5018861468&sid=search
Console Playstation 5 Midia Fisica Slim Branco 1tb Returnal E Ratchet E Clank Controle Sem Fio Dualsense Branco Branco/preto,209,https://www.mercadolivre.com.br/console-playstation-5-midia-fisica-slim-branco-1tb-returnal-e-ratchet-e-clank-controle-sem-fio-dualsense-branco/up/MLBU801769289#polycard_client=search-nordic&search_layout=grid&position=39&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB4899169050&sid=search
Playstation 5 Pro Playstation 5 Pro Sony 2024,210,https://www.mercadolivre.com.br/playstation-5-pro-playstation-5-pro-sony-2024/p/MLB47801395#polycard_client=search-nordic&search_layout=grid&position=8&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB4170915169&sid=search
Playstation 5 (ps5) Slim 30th Anniversary Edition Ssd 1tb Novo - Cfi 2000 B30 Cinza,210,https://produto.mercadolivre.com.br/MLB-4004677867-playstation-5-ps5-slim-30th-anniversary-edition-ssd-1tb-novo-cfi-2000-b30-cinza-_JM?searchVariation=187239022913#polycard_client=search-nordic&searchVariation=187239022913&search_layout=grid&position=33&type=item&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc
Ps5 Slim 1tb Fisico C/leitor Astrobot/granturismo Novo C/nf Branco,211,https://www.mercadolivre.com.br/ps5-slim-1tb-fisico-cleitor-astrobotgranturismo-novo-cnf/up/MLBU3410146434#polycard_client=search-nordic&search_layout=grid&position=30&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB5673494730&sid=search
Playstation 5 Ps5 Físico Dois Controles + Jogo A Escolher Branco,214,https://www.mercadolivre.com.br/playstation-5-ps5-fisico-dois-controles--jogo-a-escolher/up/MLBU3440821796#polycard_client=search-nordic&search_layout=grid&position=16&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB4217132561&sid=search
Console Playstation 5 Midia Fisica Slim Branco 1tb Returnal E Ratchet E Clank Controle Sem Fio Dualsense Branco,238,https://www.mercadolivre.com.br/console-playstation-5-midia-fisica-slim-branco-1tb-returnal-e-ratchet-e-clank-controle-sem-fio-dualsense-branco/up/MLBU2925651449#polycard_client=search-nordic&search_layout=grid&position=43&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB5244249638&sid=search
Sony Playstation 5 + Malvel's Spider Man 2 Ps5 Envio Rapido Branco,242,https://www.mercadolivre.com.br/sony-playstation-5--malvels-spider-man-2-ps5-envio-rapido/up/MLBU1987793192#polycard_client=search-nordic&search_layout=grid&position=47&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB4257110336&sid=search
Console Sony Playstation 5 Slim Digital 1 Tera Novo Lacrado + Ea Fc Fifa 25 + God Raganarok + Gta 5 + Mkt 11 + Resident Evil 4 + Red Dead 2 + Gt7,352,https://produto.mercadolivre.com.br/MLB-4213004517-console-sony-playstation-5-slim-digital-1-tera-novo-lacrado-ea-fc-fifa-25-god-raganarok-gta-5-mkt-11-resident-evil-4-red-dead-2-gt7-_JM?searchVariation=190956576019#polycard_client=search-nordic&searchVariation=190956576019&search_layout=grid&position=23&type=item&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc
Playstation 5 Slim Fisico Com 2 Controles + Fifa  Fc26 Branco/preto,373,https://www.mercadolivre.com.br/playstation-5-slim-fisico-com-2-controles--fifa--fc26/up/MLBU3156664729#polycard_client=search-nordic&search_layout=grid&position=26&type=product&tracking_id=140f174e-1940-4074-a6f3-747bd64035dc&wid=MLB5375677278&sid=search
